时间,昵称,内容,类型
8/31/2026 16:15,Ji🍑🍨,刚看了聊天记录感觉@NH2S 一直态度挺好的，有积极向解决这件事情。但是确实怕是诈骗或者确实是陌生人比较警惕，人在国内，也不好access到这边的信息。感觉大家还是以解决问题为主要目的吧。@NH2S 稍微努力一下验证一下，看一下gmail，和银行确认一下。虽然确实有点麻烦。但是$1000确实不是小数目。而且上了法庭什么的就不知$1000那么简单了。对自己的信誉也有影响。如果拿到crimal record 找工作也很难。为了自己就稍微麻烦一些，验证一下，把钱转给他们吧。即使VPN也是可以登陆网上银行。给银行打电话也不用钱的。,文本
8/31/2026 16:15,Yutong,她8月19号就回来了[旺柴],文本
8/31/2026 16:15,NH2S,"我现在不方便验证
引用：Ji🍑🍨: 刚看了聊天记录感觉@NH2S 一直态度挺好的，有积极向解决这件事情。但是确实怕是诈骗或者确实是陌生人比较警惕，人在国内，也不好access到这边的信息。感觉大家还是以解决问题为主要目的吧。@NH2S 稍微努力一下验证一下，看一下gmail，和银行确认一下。虽然确实有点麻烦。但是$1000确实不是小数目。而且上了法庭什么的就不知$1000那么简单了。对自己的信誉也有影响。如果拿到crimal record 找工作也很难。为了自己就稍微麻烦一些，验证一下，把钱转给他们吧。即使VPN也是可以登陆网上银行。给银行打电话也不用钱的。",引用消息
8/31/2026 16:16,Yutong,我有你的出入境记录[旺柴],文本
8/31/2026 16:16,NH2S,那你觉得你的威胁还有意义吗,文本
8/31/2026 16:16,NH2S,呵呵,文本
8/31/2026 16:16,Yutong,我没有威胁，我只是陈述了事实,文本
8/31/2026 16:16,哈货,"一周多不回信息的态度并不好吧
引用：Ji🍑🍨: 刚看了聊天记录感觉@NH2S 一直态度挺好的，有积极向解决这件事情。但是确实怕是诈骗或者确实是陌生人比较警惕，人在国内，也不好access到这边的信息。感觉大家还是以解决问题为主要目的吧。@NH2S 稍微努力一下验证一下，看一下gmail，和银行确认一下。虽然确实有点麻烦。但是$1000确实不是小数目。而且上了法庭什么的就不知$1000那么简单了。对自己的信誉也有影响。如果拿到crimal record 找工作也很难。为了自己就稍微麻烦一些，验证一下，把钱转给他们吧。即使VPN也是可以登陆网上银行。给银行打电话也不用钱的。",引用消息
8/31/2026 16:17,NH2S,对 因为我实在不知道应该和你说啥,文本
8/31/2026 16:17,NH2S,你已经申请撤回了,文本
8/31/2026 16:17,哈货,要是不在群里挂他，她会一直躲到死,文本
8/31/2026 16:17,NH2S,那你就和银行弄去,文本
8/31/2026 16:17,NH2S,不好意思,文本
8/31/2026 16:18,NH2S,我不是躲,文本
8/31/2026 16:18,NH2S,我是最近玩得比较开心,文本
8/31/2026 16:18,NH2S,真的没有时间理你,文本
8/31/2026 16:18,NH2S,你已经申请撤回了,文本
8/31/2026 16:18,NH2S,我就不可能跟你钱,文本
8/31/2026 16:18,NH2S,给,文本
8/31/2026 16:18,NH2S,这是你的问题 不是我的问题,文本
8/31/2026 16:18,A New Hope,现在玩的不开心，有空理了[旺柴],文本
8/31/2026 16:19,NH2S,我也没办法帮你去验证,文本
8/31/2026 16:19,NH2S,"也不是啊
引用：_A_New_Hope: 现在玩的不开心，有空理了[旺柴]",引用消息
8/31/2026 16:19,NH2S,是玩得开心了 有精力来解决你们敲诈勒索这件事了,文本
8/31/2026 16:19,哈货,"首先我不知道你是从哪臆想到我申请撤回，我们的聊天记录就截止到刚才发的那一段，最后是我发给了你梯子，你说你要自己研究一下。
引用：NH2S: 你已经申请撤回了",引用消息
8/31/2026 16:20,NH2S,无法和sb沟通,文本
8/31/2026 16:20,NH2S,我不再浪费一秒,文本
8/31/2026 16:20,Yutong,【图片】,图片
8/31/2026 16:21,哈货,给了你机会让你不少一分钱，最后你非得要倒贴几百块钱来打官司,文本
8/31/2026 16:21,NH2S,我都要笑死了,文本
8/31/2026 16:21,NH2S,你好棒哦,文本
8/31/2026 16:21,NH2S,你自己搞的事,文本
8/31/2026 16:21,NH2S,我懒得理你,文本
8/31/2026 16:21,NH2S,你牛逼你去告,文本
8/31/2026 16:21,NH2S,我tm还想告zyt呢,文本
8/31/2026 16:22,A New Hope,"欢迎起诉
引用：NH2S: 我tm还想告zyt呢",引用消息
8/31/2026 16:22,Yutong,【图片】,图片
8/31/2026 16:22,Yutong,我等着你的起诉呢,文本
8/31/2026 16:22,NH2S,哎 给个地址啊,文本
8/31/2026 16:22,Yutong,我还有ircc的模板没有发呢,文本
8/31/2026 16:22,NH2S,住址,文本
8/31/2026 16:22,Yutong,你有[旺柴],文本
8/31/2026 16:24,NH2S,zyt牛死了,文本
8/31/2026 16:24,Yutong, 你爸身上19份判决书呢，上梁不正下梁歪,文本
8/31/2026 16:25,NH2S,你在搞笑吧,文本
8/31/2026 16:25,NH2S,你这敲诈勒索威胁造谣的,文本
8/31/2026 16:25,NH2S,你好牛啊哥哥,文本
8/31/2026 16:25,Yutong,我哪句话都是有证据的,文本
8/31/2026 16:26,,"""Yanjun Liu  NH2S"" 撤回了一条消息",系统消息
8/31/2026 16:26,NH2S,我是不知道我这种被你敲诈威胁的 能给挂网上成瓜王的,文本
8/31/2026 16:26,A New Hope,"你倒是说说怎么敲诈威胁你的呀
引用：NH2S: 我是不知道我这种被你敲诈威胁的 能给挂网上成瓜王的",引用消息
8/31/2026 16:27,NH2S,@哈货 你也看到我遇到多少sb了,文本
8/31/2026 16:27,NH2S,既然你是 我就没办法和你在没信任的情况下解决这个事,文本
8/31/2026 16:28,NH2S,因为我没有任何问题 也不是我的问题,文本
8/31/2026 16:28,Yutong,Ircc的这个看来我也不得不发了,文本
8/31/2026 16:28,A New Hope,"看看自己的账户额度，再考虑一下自身问题
引用：NH2S: @哈货 你也看到我遇到多少sb了",引用消息
8/31/2026 16:28,Yutong,感谢给我一个理由,文本
8/31/2026 16:29,,"""Yanjun Liu  NH2S"" 撤回了一条消息",系统消息
8/31/2026 16:29,NH2S,是 怕被告嘛,文本
8/31/2026 16:29,Yutong,我怕告？,文本
8/31/2026 16:29,Yutong,🤣,文本
8/31/2026 16:29,NH2S,你真觉得我是一点反击手段没有？,文本
8/31/2026 16:29,Denshen,@NH2S 那你咋能信任他,文本
8/31/2026 16:29,Yutong,我太期待你告了,文本
8/31/2026 16:29,NH2S,"请他走银行途径
引用：Dishen 单板教练 雪板打蜡: @NH2S 那你咋能信任他",引用消息
8/31/2026 16:30,NH2S,或者其他合法途径,文本
8/31/2026 16:30,A New Hope,"懂你，反击手段是给chatgpt充会员 提升算力额度
引用：NH2S: 你真觉得我是一点反击手段没有？",引用消息
8/31/2026 16:30,哈货,"绷
引用：NH2S: 请他走银行途径",引用消息
8/31/2026 16:30,哈货,银行跟我说了不算得跟你说才算是吧,文本
8/31/2026 16:31,NH2S,【图片】,图片
8/31/2026 16:31,NH2S,zyt连传票都不敢收哦,文本
8/31/2026 16:32,Yutong,哎呦,文本
8/31/2026 16:32,NH2S,要住址是因为起诉需要地址,文本
8/31/2026 16:32,Yutong,你找法院要啊,文本
8/31/2026 16:32,Yutong,合法途径,文本
8/31/2026 16:32,Yutong,你把钱还了我就给你地址,文本
8/31/2026 16:32,Denshen,他本人拿着id 和银行账户跟转账记录当面给你看你能信任他不@NH2S ,文本
8/31/2026 16:33,Yutong,你还欠我70多刀呢,文本
8/31/2026 16:33,Yutong,"抛弃幻想，准备战斗
引用：Dishen 单板教练 雪板打蜡: 他本人拿着id 和银行账户跟转账记录当面给你看你能信任他不@NH2S ",引用消息
8/31/2026 16:34,,"""哈货"" 撤回了一条消息",系统消息
8/31/2026 16:34,哈货,自己说要线下解决，问哪天回加拿大也不回复,文本
8/31/2026 16:35,哈货,结果比我回的还早，躲起来装死呢,文本
8/31/2026 16:35,Yutong,【图片】,图片
8/31/2026 16:35,Yutong,她已经在加拿大了,文本
8/31/2026 16:35,A New Hope,"@NH2S  地址你要不发邮件问问gonorth，whitehorse不行，就问alaska总部
引用：NH2S: 要住址是因为起诉需要地址",引用消息
8/31/2026 16:35,Yutong,"出入境记录显示的
引用：Yutong: 她8月19号就回来了[旺柴]",引用消息
8/31/2026 16:36,Yutong,这爆料好看不，还要继续放吗[吃瓜],文本
8/31/2026 16:40,ヽ(￣д￣;)ノ=3=3,没了吗？,文本
8/31/2026 16:41,Yutong,还有,文本
8/31/2026 16:41,Yutong,看看她有没有悔改,文本
8/31/2026 16:41,Yutong,再行后续,文本
8/31/2026 16:42,Yutong,我放的这些，都是公开可获取的证据，不属于个人隐私[旺柴],文本
8/31/2026 16:42,A New Hope,"那就好比奥德修斯不想回家
引用：Yutong: 看看她有没有悔改",引用消息
8/31/2026 16:43,Denshen,怎么美美隐身了😂,文本
8/31/2026 16:44,Yutong,【图片】,图片
8/31/2026 16:44,Yutong,Tick tock ,文本
8/31/2026 16:50,Yutong,刚刚那么猖狂，人呢,文本
8/31/2026 16:50,Yutong,【表情包】 ,表情包
8/31/2026 16:54,A New Hope,token用没了，给AI充钱呢,文本
8/31/2026 16:54,ヽ(￣д￣;)ノ=3=3,【表情包】 哈哈哈,表情包
8/31/2026 16:59,chaesoo,"我肚肚
引用：_A_New_Hope: token用没了，给AI充钱呢",引用消息
8/31/2026 17:00,Yutong,左脑攻击右脑呢,文本
8/31/2026 17:02,Yutong,【表情包】 ,表情包
8/31/2026 17:06,好好(傻逼)_Qianhui_Shi,【表情包】 ,表情包
8/31/2026 17:06,沧浪渔父,既然都回来了去银行当面把错转的转回去不就不怕重复扣了么，不管撤不撤回的问题了。这么简单的事情，还升级成人身攻击了，但凡积极点沟通也不至于逼的人孩子挂出来啊。虽说不是她的错误，但是当着官方的面也没什么被诈骗风险，道义上浪费点时间去银行解决也比等法律程序快，虽说得等一阵了，白浪费社会资源。不过看这骂大街的意思是不打算跟你解决了,文本
8/31/2026 17:06,好好(傻逼)_Qianhui_Shi,这个群就是拉人进来吵架的？先退了生理不适,文本
8/31/2026 17:06,Yutong,你赶紧滚[旺柴],文本
8/31/2026 17:07,,你撤回了一条消息,系统消息
8/31/2026 17:07,,"""Jenny "" 撤回了一条消息",系统消息
8/31/2026 17:08,沧浪渔父,@Yutong 一万怎么回事,文本
8/31/2026 17:08,Yutong,她坑别人钱都有名了,文本
8/31/2026 17:08,Liao Yan,etransfer 的确不能召回。所以很多印度诈骗收 etransfer。所以转错了就只能跟在国内充错话费一样，只能协调。,文本
8/31/2026 17:08,Qiao er,"@NH2S 嗨，您好。
我来当案例看看哈
1.您的账户里多了1000刀是事实吧。
2.给你转帐的账户联系人，您是之前认识接触过的吧。

那这个还有什么无法核实身份呢。

理论上您账户里多了一笔飞来的横财，别人不知道。

但是有个熟人跟您说，是打错款了。您就立马退回就是了。

这不是正常人的逻辑吗？
对不。如果您担心资金来源，您可以报警。",文本
8/31/2026 17:08,Yutong,我们去北极的正常开销，她至今还欠我钱呢,文本
8/31/2026 17:08,Yutong,@沧浪渔父 ⬆️,文本
8/31/2026 17:08,Qiao er,就纯案例分析。不判断是非。不是法官。,文本
8/31/2026 17:09,Yutong,她的瓜你们都不知道吗，至少有7个群挂过她了,文本
8/31/2026 17:12,A New Hope,"是的，我可以一同证明，到现在还不还呢，各种账单明细她自己都有
引用：Yutong: 我们去北极的正常开销，她至今还欠我钱呢",引用消息
8/31/2026 17:12,沧浪渔父,嗯嗯 就七十你说 他咋整出来一万了,文本
8/31/2026 17:13,Yutong,她那意思是正常开销她都不想付,文本
8/31/2026 17:14,Yutong,我垫付的钱，差点让她给赖赖,文本
8/31/2026 17:14,Yutong,了,文本
8/31/2026 17:14,Yutong,现在还作妖呢,文本
8/31/2026 17:15,羽毛,"[Scowl]
引用：Yutong: 我们去北极的正常开销，她至今还欠我钱呢",引用消息
8/31/2026 17:15,Yutong,我们六个人去了10天，中间买了个锅做饭，人家说这锅她不应该摊钱，因为她自己带了个电饭锅。。。。房车上没电，一次也没用到,文本
8/31/2026 17:16,Yutong,她还在这锅里吃饭呢,文本
8/31/2026 17:16,A New Hope,"当时我们在北极遇到自然灾害，她在为跟任何人沟通的前提下，自己买了机票回去，把我们留在北极，但是没人送她去机场。鉴于她的名声，一万是当时我们要求她先期支付的垫款
引用：沧浪渔父: 嗯嗯 就七十你说 他咋整出来一万了",引用消息
8/31/2026 17:17,A New Hope,垫款用于结清她离开前后的花销,文本
8/31/2026 17:17,Yutong,期间她一直在跟我们讨价还价，各种合理支出都在找理由赖账,文本
8/31/2026 17:17,Yutong,威胁我上小额法庭,文本
8/31/2026 17:17,Yutong,我证据充足，可惜到现在也没等到她的传票,文本
8/31/2026 17:17,A New Hope,"未跟*
引用：_A_New_Hope: 当时我们在北极遇到自然灾害，她在为跟任何人沟通的前提下，自己买了机票回去，把我们留在北极，但是没人送她去机场。鉴于她的名声，一万是当时我们要求她先期支付的垫款",引用消息
8/31/2026 17:19,沧浪渔父,"噢你们事先已经知道了她的故事..还一起勇闯天涯两人
引用：_A_New_Hope: 当时我们在北极遇到自然灾害，她在为跟任何人沟通的前提下，自己买了机票回去，把我们留在北极，但是没人送她去机场。鉴于她的名声，一万是当时我们要求她先期支付的垫款",引用消息
8/31/2026 17:19,沧浪渔父,了,文本
8/31/2026 17:20,Yutong,她也是利用了我们朋友的善良,文本
8/31/2026 17:20,Yutong,没想过人能这么没有底线,文本
8/31/2026 17:20,A New Hope,"老话讲叫 慈心生祸害
引用：沧浪渔父: 噢你们事先已经知道了她的故事..还一起勇闯天涯两人",引用消息
8/31/2026 17:20,Yutong,既然她装死了，我明天就把邮件发了,文本
8/31/2026 17:21,Yutong,以慰受害者受伤的心灵[社会社会],文本
8/31/2026 17:21,Yutong,感谢各位吃瓜,文本
8/31/2026 17:22,沧浪渔父,去一趟人均得一万刀呢？好贵 去不起感觉,文本
8/31/2026 17:22,Yutong,渥太华徒步群群主恭候各位光临[机智],文本
8/31/2026 17:24,Yutong,我们小团一行6人，全车队是13人,文本
8/31/2026 17:24,Yutong,1w是人民币,文本
8/31/2026 17:24,沧浪渔父,那真挺便宜的,文本
8/31/2026 17:25,Yutong,我要加币，她非要给我人民币。。。因为当时的汇率是4.78,文本
8/31/2026 17:25,沧浪渔父,[捂脸][捂脸][捂脸],文本
8/31/2026 17:25,Yutong,我说我也没法给你换啊，她不管，她就要给我人民币,文本
8/31/2026 17:26,沧浪渔父,你也没想到在加拿大还能直接收到祖国币,文本
8/31/2026 17:26,Yutong,她贼得很，汇率这个她是要占便宜的,文本
8/31/2026 17:29,A New Hope,尽管如此，我们最后当天还是好心驱车往返500公里，给她送到机场。之后她就开始说我们敲诈勒索,文本
8/31/2026 17:29,沧浪渔父,不好评价别的事， 她给我们倒是正常结算的。 但是就这个错转的事情也好情分上人都回来了，打个电话去趟银行弄清楚转回去就完了， 简单的事情搞的复杂， 这小地方老中基本都能互相认识,文本
8/31/2026 17:29,Yutong,她撤到白马之后就开始嘲讽我们，我也不知道是为啥,文本
8/31/2026 17:31,Yutong,本来是理念不合，现在嘲讽来了，这是不是就有点私人恩怨了,文本
8/31/2026 17:31,沧浪渔父,还是送了 那这段车费不是得自己出了,文本
8/31/2026 17:31,沧浪渔父,那自然灾害有多重你们剩下的还继续了也没啥问题,文本
8/31/2026 17:32,ヽ(￣д￣;)ノ=3=3,"不就是那70刀吗。
引用：沧浪渔父: 还是送了 那这段车费不是得自己出了",引用消息
8/31/2026 17:32,Yutong,"她至今没给我
引用：沧浪渔父: 还是送了 那这段车费不是得自己出了",引用消息
8/31/2026 17:32,沧浪渔父,…..,文本
8/31/2026 17:32,Yutong,专程送她的,文本
8/31/2026 17:32,Yutong,就是洪水冲了渡口而已,文本
8/31/2026 17:34,Yutong,我们最终也是找了一家公司把我们的车还了，她说这个还车的费用她一分不出。。。。,文本
8/31/2026 17:35,Yutong,租车合同她还有名字在上边呢，然后越过我们，疯狂的和租车公司发邮件，我们蒙在鼓里，啥都不知道。。。。,文本
8/31/2026 17:35,Yutong,沟通过程和上面没有二致,文本
8/31/2026 17:36,沧浪渔父,换车费是异地还车费 保险之类的吗 租的是极地那种车？,文本
8/31/2026 17:36,Yutong,就是车轱辘话来回说，反正不给你看,文本
8/31/2026 17:36,Yutong,我们是房车，没有异地还车的选项,文本
8/31/2026 17:37,Yutong,雇人帮我们还了,文本
8/31/2026 17:37,Yutong,因为北极那个地方，最大的镇子3000人口,文本
8/31/2026 17:38,Yutong,她还意图骗保，说这试试也没啥害处,文本
8/31/2026 17:39,Yutong,差点害惨了我[捂脸],文本
8/31/2026 17:39,Yutong,租车公司以为车出问题了，跟我们的后续沟通敌对心态很重,文本
8/31/2026 17:39,沧浪渔父,就是等于她全程跟团也是要a这个还车费的。 临时脱团还影响了其他人的人均后续费用,文本
8/31/2026 17:39,,""" A New Hope"" 撤回了一条消息",系统消息
8/31/2026 17:40,沧浪渔父,跟保险说车坏了 人伤了 要理赔？,文本
8/31/2026 17:40,尼古拉斯·狗剩㍿,6,文本
8/31/2026 17:40,A New Hope,"插一句，雇人是因为天灾造成基建一时半会儿无法修复。同行朋友中有很多有国际航班回到亚洲，所以不得不委托他人
引用：Yutong: 雇人帮我们还了",引用消息
8/31/2026 17:40,Yutong,我们搞得好像在掩盖问题似的,文本
8/31/2026 17:41,A New Hope,"本来能在加拿大白马解决的问题，直接上升到阿拉斯加总部。我们也是被通知才知道事情原委
引用：Yutong: 租车公司以为车出问题了，跟我们的后续沟通敌对心态很重",引用消息
8/31/2026 17:42,Yutong,"是的，说要把车拖回来
引用：沧浪渔父: 跟保险说车坏了 人伤了 要理赔？",引用消息
8/31/2026 17:42,Yutong,车一点问题都没有,文本
8/31/2026 17:43,沧浪渔父,没坏拖啥拖,文本
8/31/2026 17:44,NH2S,"我找了一个1000刀能拖回来的人
引用：Yutong: 我们最终也是找了一家公司把我们的车还了，她说这个还车的费用她一分不出。。。。",引用消息
8/31/2026 17:44,NH2S,你毫无理由拒绝,文本
8/31/2026 17:44,NH2S,最后给的账单是多少倍,文本
8/31/2026 17:45,NH2S,整个过程被sb性骚扰,文本
8/31/2026 17:45,A New Hope,"不是他拒绝的啊，我们投过票的
引用：NH2S: 你毫无理由拒绝",引用消息
8/31/2026 17:45,NH2S,说是有女生同行,文本
8/31/2026 17:45,NH2S,非要我去和三个男生住同一辆车,文本
8/31/2026 17:46,群消息,"-1
""<a href=""weixin://link_profile?username=ydmouse"">尼古拉斯·狗剩㍿</a>""邀请""<a href=""weixin://link_profile?username=lovely-cpw"">Donald</a>""加入了群聊",未知类型
8/31/2026 17:46,NH2S,车上开黄腔,文本
8/31/2026 17:47,A New Hope,"这话谁说的？ 一辆车就住三个人，你还怎么跟其他三个男生同住。饭可以乱吃，话不要乱讲
引用：NH2S: 非要我去和三个男生住同一辆车",引用消息
8/31/2026 17:47,NH2S,出发前签合同 已经说明了 退出之后费用各自分摊,文本
8/31/2026 17:47,Yutong,哎呦喂，回来了,文本
8/31/2026 17:48,NH2S,我走之前给了等于2500刀的rmb,文本
8/31/2026 17:48,Yutong,你特么跟人家夫妻挤一张床,文本
8/31/2026 17:48,Denshen,"@NH2S
引用：Dishen 单板教练 雪板打蜡: 他本人拿着id 和银行账户跟转账记录当面给你看你能信任他不@NH2S ",引用消息
8/31/2026 17:48,Yutong,把人家老婆挤走了，跟人家老公一起,文本
8/31/2026 17:48,Yutong,这是人干的事？,文本
8/31/2026 17:48,沧浪渔父,"？？？
引用：Yutong: 把人家老婆挤走了，跟人家老公一起",引用消息
8/31/2026 17:48,Yutong,单人床睡不了是吧,文本
8/31/2026 17:49,A New Hope,"对啊，本来你答应的睡沙发，晚上后悔了。
引用：Yutong: 你特么跟人家夫妻挤一张床",引用消息
8/31/2026 17:49,NH2S,..,文本
8/31/2026 17:49,A New Hope,人家老婆三天就睡了5个小时,文本
8/31/2026 17:49,Yutong,我都看不下去了,文本
8/31/2026 17:49,NH2S,你是黄谣张口就来啊,文本
8/31/2026 17:50,NH2S,我当时强行要和MQ住一块,文本
8/31/2026 17:50,Yutong,你性缩力都拉满了,文本
8/31/2026 17:50,Yutong,给我钱我都不上的,文本
8/31/2026 17:50,NH2S,不就是为了拒绝你热情邀我睡大通铺,文本
8/31/2026 17:50,NH2S,你变态吧你,文本
8/31/2026 17:50,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_aonfknj5dvuj12"">D:5an2_</a>""邀请""<a href=""weixin://link_profile?username=wxid_jsqcvst6ymlf22"">楓</a>""加入了群聊",未知类型
8/31/2026 17:51,Yutong,整天社交软件发那些个高p饥渴照,文本
8/31/2026 17:52,A New Hope,提到性骚扰我倒是想起来，你走后每天不停轰炸其中一个小帅40+ msg，这算吗？,文本
8/31/2026 17:52,沧浪渔父,远了 ， 育空的事放一放。 说哈货那个误转的事， 去银行当面搞清楚吧,文本
8/31/2026 17:52,Yutong,你一个一米五的非要跟人家夫妻挤，把1米7的小床空着为了不和我睡？这是人话吗,文本
8/31/2026 17:52,Denshen,"@NH2S 111
引用：Dishen 单板教练 雪板打蜡: 他本人拿着id 和银行账户跟转账记录当面给你看你能信任他不@NH2S ",引用消息
8/31/2026 17:52,Yutong,你给人家还回去，这事就算了,文本
8/31/2026 17:53,Yutong,勿谓言之不预也,文本
8/31/2026 17:53,A New Hope,【图片】,图片
8/31/2026 17:53,A New Hope,这样算性骚扰吗？,文本
8/31/2026 17:54,沧浪渔父,爽歪歪和掏轮胎是我理解的那个意思吗,文本
8/31/2026 17:56,Yutong,她啥都知道,文本
8/31/2026 17:57,楓,【表情包】 ,表情包
8/31/2026 17:58,时屿,【表情包】 ,表情包
8/31/2026 18:01,A New Hope,"你最好别自行理解，要不然你也是性骚扰诽谤诈骗污蔑
引用：沧浪渔父: 爽歪歪和掏轮胎是我理解的那个意思吗",引用消息
8/31/2026 18:01,羽毛,有xhs长文版本吗,文本
8/31/2026 18:03,Yutong,会整理的,文本
8/31/2026 18:03,Yutong,本来以为她能迷途知返,文本
8/31/2026 18:04,Yutong,无奈是她罪孽深重，无可救药,文本
8/31/2026 18:04,沧浪渔父,给个deadline,文本
8/31/2026 18:07,Yutong,啥ddl ,文本
8/31/2026 18:09,沧浪渔父,"1
引用：Yutong: 会整理的",引用消息
8/31/2026 18:09,NH2S,"我轰炸张睿是因为他本来也要去白马
引用：_A_New_Hope: 提到性骚扰我倒是想起来，你走后每天不停轰炸其中一个小帅40+ msg，这算吗？",引用消息
8/31/2026 18:10,NH2S,我认为我去了占了他位置,文本
8/31/2026 18:11,NH2S,掏轮胎是你说的 我原样照搬,文本
8/31/2026 18:11,A New Hope,"人家压根儿就都没买飞机票，怎么提出需要分配位置呢？？？
引用：NH2S: 我认为我去了占了他位置",引用消息
8/31/2026 18:12,Yutong,靠谱的人都坚守到了最后一刻,文本
8/31/2026 18:12,A New Hope,"还有你承认你轰炸人家啦
引用：NH2S: 我轰炸张睿是因为他本来也要去白马",引用消息
8/31/2026 18:12,NH2S,你好幼稚啊,文本
8/31/2026 18:12,NH2S,我知道你们肯定造谣啊,文本
8/31/2026 18:12,NH2S,我问问他你们造的啥谣,文本
8/31/2026 18:13,Yutong,真是不见棺材不落泪,文本
8/31/2026 18:13,A New Hope,那我建议你也查查你的ig号，感觉你ig也被人盗了,文本
8/31/2026 18:14,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_911pspo67q0d22"">MV</a>""邀请""<a href=""weixin://link_profile?username=wxid_60cauoza0f6w11"">温暖的光</a>""加入了群聊",未知类型
8/31/2026 18:15,A New Hope,【图片】,图片
8/31/2026 18:16,A New Hope,你ig发的跟你表现的价值观完全不符。盗号者是个性骚扰的人，我很确定,文本
8/31/2026 18:16,A New Hope,而且自己回复自己这动态很反常，建议留心,文本
8/31/2026 18:17,Yutong,[旺柴]这是她本色,文本
8/31/2026 18:20,Yutong,为了1000，还国家好几万，有必要吗,文本
8/31/2026 18:23,A New Hope,"是呢，把钱还了，什么事儿都还有商有量
引用：Yutong: 为了1000，还国家好几万，有必要吗",引用消息
8/31/2026 18:30,Yutong,那我就不废话了，我等你的传票，你等csc对你的调查吧,文本
8/31/2026 18:55,群消息,"-1
""<a href=""weixin://link_profile?username=fensexiaotianshi19"">赵彤 Ciena B4</a>""邀请""<a href=""weixin://link_profile?username=wxid_4yrxkb8hhppw21"">周楷棪 Ciena-B4</a>""加入了群聊",未知类型
