时间,昵称,内容,类型
2026-09-06 20:10:03,chaesoo,？,文本
2026-09-06 20:10:27,chaesoo,让她表演去吧,文本
2026-09-06 20:10:40,chaesoo,我小红书都懒得看,文本
2026-09-06 20:11:55,chaesoo,等我走完小额法庭一起发小红书上,文本
2026-09-09 17:15:37,Qiao er,"问下大家，接下来的任何一个周末，如果有去摘苹果的Carpool能提供，请联系我。
需要2个座位，谢谢。",文本
2026-09-10 05:07:28,NH2S,"啊 你敢跟我去吗
引用：Qiao_er: 问下大家，接下来的任何一个周末，如果有去摘苹果的Carpool能提供，请联系我。
需要2个座位，谢谢。",引用消息
2026-09-10 05:07:34,NH2S,zyt造谣我偷苹果,文本
2026-09-10 05:07:41,NH2S,我真的好爱吃苹果,文本
2026-09-10 05:08:00,NH2S,[微笑]但不至于偷 虾虾侬,文本
2026-09-10 05:08:19,NH2S,zyt你这造谣能力 我想了一夜啊 我都没想明白,文本
2026-09-10 05:08:25,NH2S,我为什么去北极偷苹果,文本
2026-09-10 05:10:10,NH2S,我跟你们讲 猥琐男的小零食吃不得啊.. 和你套近乎的时候 说特意为你买的啊 ,文本
2026-09-10 05:10:27,NH2S,撕逼的时候写小作文 说你偷他零食吃,文本
2026-09-10 05:10:34,NH2S,我真是想了一夜..,文本
2026-09-10 05:12:01,NH2S,"你给我介绍个亚当.. 咱四个一起去偷苹果
引用：Qiao_er: 问下大家，接下来的任何一个周末，如果有去摘苹果的Carpool能提供，请联系我。
需要2个座位，谢谢。",引用消息
2026-09-10 12:15:43,Yutong,【表情包】 还钱,表情包
2026-09-10 12:17:27,Yutong,【表情包】 ,表情包
2026-09-10 12:18:06,Yutong,【表情包】 ,表情包
2026-09-10 12:45:42,Yutong,【图片】,图片
2026-09-10 13:13:01,Yutong,毕竟这不是我的群,文本
2026-09-10 13:25:02,Donald,【表情包】 ,表情包
2026-09-10 13:28:21,delorenzo,"确实[Doge]我愿知识付费
引用：26988422900@chatroom: 无效的消息",引用消息
2026-09-10 13:37:50,,"""CASI 1 小帅""邀请""TD""加入了群聊",系统消息
2026-09-10 14:08:47,🍁️Ꮛ͚͡珈珈萤࿐✾ೄ೨,【表情包】 哎呦我去,表情包
2026-09-10 14:53:19,,"""孙舒宇 Go! Robert""邀请""kamward""加入了群聊",系统消息
2026-09-10 14:54:28,,"""Donald""邀请""zhp""加入了群聊",系统消息
2026-09-10 15:15:20,NH2S,【图片】,图片
2026-09-10 15:15:33,NH2S,md 吃不上饭了 吃生蚝得了,文本
2026-09-10 15:15:47,NH2S,怎么ywx还不进群,文本
2026-09-10 15:16:02,NH2S,不是有人线下要找我吗,文本
2026-09-10 15:16:05,NH2S,zyt 来啊,文本
2026-09-10 15:17:50,NH2S,好爱吃哦,文本
2026-09-10 15:19:07,NH2S,不说我欠钱吗 来嘛,文本
2026-09-10 15:19:37,NH2S,不说我睡人老公吗 zmq你来打小三啊,文本
2026-09-10 15:20:59,NH2S,私聊我拿地址啊 或者看盘子就知道是哪吧,文本
2026-09-10 15:21:48,NH2S,@Yutong ,文本
2026-09-10 15:24:38,NH2S,谁来我请谁吃生蚝,文本
2026-09-10 15:24:47,NH2S,happy hour到五点,文本
2026-09-10 15:24:55,NH2S,"【位置分享】
坐标: (45.37772,-75.659126)
名称: 位置
标签: 
",位置分享
2026-09-10 15:24:59,NH2S,来玩儿,文本
2026-09-10 15:25:34,NH2S,別怂啊,文本
2026-09-10 15:26:24,,"""孙舒宇 Go! Robert""邀请""豪壕嚎🍅""加入了群聊",系统消息
2026-09-10 15:28:20,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 15:28:57,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 15:30:39,NH2S,陪吃饭的 按颜值给小费,文本
2026-09-10 15:31:40,Denshen,@原则+文明+人品 ,文本
2026-09-10 15:33:26,NH2S,干嘛@原则+文明+人品 哥,文本
2026-09-10 15:33:55,NH2S,@Dishen 单板教练 雪板打蜡 喊你爸带你过来吃饭,文本
2026-09-10 15:34:07,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 15:34:22,NH2S,真请客,文本
2026-09-10 15:35:03,NH2S,原则哥支付宝钻石会员应该看不上这low逼餐厅,文本
2026-09-10 15:35:19,NH2S,来的话我请啊,文本
2026-09-10 15:35:28,NH2S,哥来嘛@原则+文明+人品 ,文本
2026-09-10 15:36:50,NH2S,我一个人在这好怕怕哦,文本
2026-09-10 15:59:46,NH2S,【图片】,图片
2026-09-10 16:05:52,,"""zhp""邀请""VIKI💨""加入了群聊",系统消息
2026-09-10 16:06:25,,"""Lu jiaying - Ciena 卢珈萤""邀请""Esther-Elf宇[Chick]""加入了群聊",系统消息
2026-09-10 16:11:01,NH2S,还来人吗,文本
2026-09-10 16:11:08,NH2S,现现场给你们看证据,文本
2026-09-10 16:12:47,chaesoo,【图片】,图片
2026-09-10 16:13:06,chaesoo,@渥太华吃果盘被挂第一人（恩师zyt 姐妹我公证完了 又离你近了一步,文本
2026-09-10 16:13:16,chaesoo,【表情包】 ,表情包
2026-09-10 16:15:32,,"""Donald""邀请""Off-StarryXD""加入了群聊",系统消息
2026-09-10 16:16:59,NH2S,哇 你为啥不来见面呀,文本
2026-09-10 16:17:27,NH2S,【图片】,图片
2026-09-10 16:17:31,NH2S,吃完走人 别跑空咯,文本
2026-09-10 16:23:13,NH2S,你应该感谢我教会你如何做公证,文本
2026-09-10 16:23:23,NH2S,哈哈哈 还有收传单,文本
2026-09-10 16:23:43,NH2S,真是的 喊你来见面又不来,文本
2026-09-10 16:24:22,chaesoo,这个世界上有没有你对我会不会公证的影响为0,文本
2026-09-10 16:24:25,🍋龙儿🍋 ²⁰²⁶,"@chaesoo 姐妹加油。这个是正道。小额法庭排期有点慢，但是就是时间问题，肯定能拿到的。对方如果到时缺席，就对你更有力了。一旦法官宣判，你可以要求直接从对方银行扣除，还可以要求发给对方雇主，直接扣工资。真的不懂在加拿大还觉得能靠耍赖赖钱的[Scowl]
引用：chaesoo: 【图片】",引用消息
2026-09-10 16:24:42,chaesoo,不过确实因为你的脸皮 我要做到这步,文本
2026-09-10 16:24:44,NH2S,今天早上给我发传单的时候 又不和我相认,文本
2026-09-10 16:24:45,chaesoo,谢谢你的脸皮,文本
2026-09-10 16:25:15,NH2S,"尼玛不是开盒我银行卡
引用：🍋龙儿🍋_²⁰²⁶: @chaesoo 姐妹加油。这个是正道。小额法庭排期有点慢，但是就是时间问题，肯定能拿到的。对方如果到时缺席，就对你更有力了。一旦法官宣判，你可以要求直接从对方银行扣除，还可以要求发给对方雇主，直接扣工资。真的不懂在加拿大还觉得能靠耍赖赖钱的[Scowl]",引用消息
2026-09-10 16:25:22,NH2S,我一千刀都没有,文本
2026-09-10 16:25:34,NH2S,穷逼 吃不起饭了,文本
2026-09-10 16:25:46,NH2S,[吃瓜],文本
2026-09-10 16:26:01,chaesoo,"没事 比较年轻 有力气折腾 正好当教训了
引用：🍋龙儿🍋_²⁰²⁶: @chaesoo 姐妹加油。这个是正道。小额法庭排期有点慢，但是就是时间问题，肯定能拿到的。对方如果到时缺席，就对你更有力了。一旦法官宣判，你可以要求直接从对方银行扣除，还可以要求发给对方雇主，直接扣工资。真的不懂在加拿大还觉得能靠耍赖赖钱的[Scowl]",引用消息
2026-09-10 16:26:15,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 16:27:10,🍋龙儿🍋 ²⁰²⁶,@chaesoo 嗯，学习下，挺有意思的经验。这世界什么样的人都有，祝顺利,文本
2026-09-10 16:27:14,NH2S,刚要请你吃生蚝 你又不来,文本
2026-09-10 16:27:27,chaesoo,"谢谢☺️
引用：🍋龙儿🍋_²⁰²⁶: @chaesoo 嗯，学习下，挺有意思的经验。这世界什么样的人都有，祝顺利",引用消息
2026-09-10 16:27:34,NH2S,记得公证哦,文本
2026-09-10 16:27:52,NH2S,这一段,文本
2026-09-10 16:28:20,chaesoo,好为人师这一块儿,文本
2026-09-10 16:28:41,NH2S,"我又没说要我教你
引用：chaesoo: 没事 比较年轻 有力气折腾 正好当教训了",引用消息
2026-09-10 16:28:48,chaesoo,我没把你想生儿子那一段 相当家庭主妇那一段公证了算给你脸,文本
2026-09-10 16:28:53,chaesoo,【表情包】 ,表情包
2026-09-10 16:28:58,chaesoo,【表情包】 喵,表情包
2026-09-10 16:29:56,NH2S,想教也可以 一千刀一次,文本
2026-09-10 16:30:14,NH2S,教不会找zyt 他2500刀一次,文本
2026-09-10 16:30:29,NH2S,无人区2500 有人区可能给你打折哦,文本
2026-09-10 16:31:52,NH2S,不对 是2570 还有70刀吃他果盘的钱别忘了付,文本
2026-09-10 16:32:38,NH2S,70刀 半袋苹果费 和牛牛肉干费 大通铺床位费,文本
2026-09-10 16:35:27,晓菲🍀申,"求2个摘苹果座位[愉快]
最近几周周末都行（除9.12号）
不好意思 新消息太多了 我再发一下[捂脸]",文本
2026-09-10 16:38:58,NH2S,"姐带你去啊 你去吗 看看我丑不丑
引用：晓菲🍀申: 求2个摘苹果座位[愉快]
最近几周周末都行（除9.12号）
不好意思 新消息太多了 我再发一下[捂脸]",引用消息
2026-09-10 16:39:59,NH2S,【视频】,视频
2026-09-10 16:40:43,NH2S,【图片】,图片
2026-09-10 16:40:45,NH2S,【图片】,图片
2026-09-10 16:40:47,NH2S,【图片】,图片
2026-09-10 16:40:52,NH2S,【图片】,图片
2026-09-10 16:40:54,NH2S,【图片】,图片
2026-09-10 16:40:56,NH2S,【图片】,图片
2026-09-10 16:41:15,,"""Wayne君""邀请""不要迷信权威""加入了群聊",系统消息
2026-09-10 16:43:20,NH2S,"还有300刀 rmcp拖车费 和 好像是500刀 我离开后 因为我是副驾驶没有指挥倒车 导致陷胎 然后 我离开后 爆胎 导致的 维修费
引用：没指挥倒车被罚800刀（恩师zyt: 【图片】",引用消息
2026-09-10 16:43:32,NH2S,rmcp出警收钱吗,文本
2026-09-10 16:43:37,NH2S,好好奇哦,文本
2026-09-10 16:44:55,Yutong,你要不要去精神科看一下,文本
2026-09-10 16:46:36,NH2S,tm的我在northern store帮你看海豹皮送你妈的时候 咋没找你收鉴定费,文本
2026-09-10 16:47:57,,"""卡尔""邀请""胡宇珊 渥太华NRC""加入了群聊",系统消息
2026-09-10 16:49:54,NH2S,【图片】,图片
2026-09-10 16:50:13,NH2S,副驾没有指挥倒车 罚款800刀哦 ,文本
2026-09-10 16:51:49,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 16:52:35,NH2S,我一大妈在福特f350副驾 倒车陷车怪我没有指挥 因此我被罚款300刀 我在无人区没有办法 我只能付了,文本
2026-09-10 16:53:25,楠楠,发疯发的理直气壮，真不知道啥样家庭能教育出这种垃圾[破涕为笑] 让人看笑话在你眼里是件很光彩的事儿啊,文本
2026-09-10 16:53:55,NH2S,后来又说因为我没有指挥陷车 控制变量法 几天后爆胎罚款500刀,文本
2026-09-10 16:55:00,NH2S,【图片】,图片
2026-09-10 16:56:27,NH2S,tm爆胎的时候我都不在车上.. 我坐飞机飞走啦～,文本
2026-09-10 16:57:00,NH2S,建议下一步直接申请诺贝尔奖：《同一路段不同车辆轮胎结果不同与某人是否指挥陷车之间的因果关系研究》。,文本
2026-09-10 16:59:19,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 16:59:30,NH2S,你说我欠你70刀 是不是我没有指挥倒车没罚够 ,文本
2026-09-10 17:03:03,NH2S,我指挥倒车专业的 如果陷车 赔300 后续爆胎 赔你500,文本
2026-09-10 17:06:07,NH2S,"请问群里有没有帅哥需要我帮忙指挥倒车[Shy]
引用：没指挥倒车被罚800刀（恩师zyt: 我指挥倒车专业的 如果陷车 赔300 后续爆胎 赔你500",引用消息
2026-09-10 17:11:11,,"""znl-🦌""邀请""Ming""加入了群聊",系统消息
2026-09-10 17:14:23,,"""正心正念德财配位""邀请""S""加入了群聊",系统消息
2026-09-10 17:16:56,,"""正心正念德财配位""邀请""Ys""加入了群聊",系统消息
2026-09-10 17:21:36,FBI！OPEN UP,【表情包】 ,表情包
2026-09-10 17:22:12,chaesoo,【表情包】 ,表情包
2026-09-10 17:22:26,Yutong,【表情包】 ,表情包
2026-09-10 17:22:49,FBI！OPEN UP,【表情包】 ,表情包
2026-09-10 17:25:13,,"""znl-🦌""邀请""Olive-站外推广""加入了群聊",系统消息
2026-09-10 17:25:14,尼古拉斯·狗剩㍿,【表情包】 ,表情包
2026-09-10 17:25:15,NH2S,【表情包】 ,表情包
2026-09-10 17:26:29,Yutong,【表情包】 ,表情包
2026-09-10 17:44:06,NH2S,【表情包】 ,表情包
2026-09-10 17:47:18,NH2S,【表情包】 ,表情包
2026-09-10 17:47:18,NH2S,【表情包】 ,表情包
2026-09-10 17:48:48,Yunao,【表情包】 ,表情包
2026-09-10 18:29:41,Qiao er,"@楠楠 有天生坏种。
比如最近国内热搜就有个坏种，说4岁小男孩摸她p股。。。哎",文本
2026-09-10 18:31:57,周豪,"个人认为群里有个别人潜力就比那个还高，当事人已经被举报到她申请的学校了，且学校回复会考虑她的申请
引用：Qiao_er: @楠楠 有天生坏种。
比如最近国内热搜就有个坏种，说4岁小男孩摸她p股。。。哎",引用消息
2026-09-10 18:39:41,NH2S,不要转移话题啊 @牟耕样 ywx进群邀请通过一下,文本
2026-09-10 18:39:52,NH2S,【图片】,图片
2026-09-10 18:39:53,NH2S,【图片】,图片
2026-09-10 18:39:55,NH2S,【图片】,图片
2026-09-10 19:01:21,,"""食草动物🐼""邀请""🍀小叶子🍀""加入了群聊",系统消息
2026-09-10 19:09:26,,"<revokemsg>""Li jiaNing delorenzo"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 19:09:56,Yunao,同求语音转文字,文本
2026-09-10 21:12:38,,"""Jenny 高澜学姐""邀请""张梦琪""加入了群聊",系统消息
2026-09-10 21:13:52,张梦琪,"@没指挥倒车被罚800刀（恩师zyt     有几件事我一次性说清楚，之后不再反复回应。

第一，我从来没有造过你的所谓“黄谣”，也从来没有说过什么“睡大通铺”之类的话。你和其他人之间有什么矛盾、别人说过你什么，请你去找对应的人，不要把别人的话、你自己的猜测和你们之间的纠纷全部转嫁到我和我老公身上。

你现在公开说我和我老公有什么 open relationship、为了身份和别人同居、存在什么不正当男女关系，包括影射我老公和你的关系，这些事情都不存在。

我之前一直没有搭理，不代表默认，更不代表你说的是真的。只是我觉得，一个人上下嘴唇一碰就能编出来的事情，如果我要因此一遍遍解释、一遍遍自证，那这件事永远没有尽头。

我没有做错任何事情，也不存在任何不正当男女关系，凭什么因为你随口说几句话，我就要把自己的婚姻和私生活摊开来，反复向所有人证明自己的清白？

第二，关于你反复提到的身份问题，也请不要再编故事。

我和我老公都是通过正常的教育、工作和移民途径生活和发展。我们都有博士学历，也有自己的工作和职业能力。我有能力靠自己找工作、养活自己，也有能力根据我们家庭的发展需要选择在哪里生活。

我不需要通过和任何人同居、所谓 open relationship，或者其他你想象出来的方式获得身份或者生活资源。

所以请不要把你自己的揣测包装成事实，再拿到网上让别人吃瓜。

第三，我原本以为不回应，这件事自然就过去了。我有自己的工作和生活，也没有兴趣把时间耗在网络八卦和反复争吵上。

之前不回应，是因为我认为没有必要为了别人随口编出的事情反复自证，不是因为这些事情存在。

但现在既然已经有人把这些话当真，而且已经开始影响到我们现实中的共同社交圈，那我就公开说一次：

涉及我和我老公不正当男女关系、open relationship、为了身份和别人同居等说法，均不属实。

旅行过程中如果对费用、安排或者其他事情有意见，可以就事论事。不要把和别人之间的矛盾转嫁到我和我老公身上，更不要继续编造涉及我们婚姻和私生活的内容。

我不会陪你在群里互相辱骂，也不会再跟你一条一条吵。

有功夫天天盯着别人、编排别人，不如多读点书、找个工作，省得一天到晚这么闲。

但从现在开始，如果这些不实内容还要继续传播，那就不是“吃瓜”或者普通争吵的问题了。相关内容我们都会保留记录，并通过正常渠道处理。

就说这么多，到此为止。",文本
2026-09-10 21:32:56,,"""铭博""邀请""fiona⚡""加入了群聊",系统消息
2026-09-10 21:35:27,NH2S,哇,文本
2026-09-10 21:36:24,NH2S,【图片】,图片
2026-09-10 21:36:49,NH2S,造我/你老公黄谣 你是不管不顾,文本
2026-09-10 21:37:02,NH2S,我就喊你老公来澄清把你急得到此为止,文本
2026-09-10 21:37:27,NH2S,你晚上不睡觉跑去zyt那车和三个男生汇报你的睡眠情况吗,文本
2026-09-10 21:39:03,NH2S,你拉他进来啊,文本
2026-09-10 21:39:33,Yutong,不是，你sb吧，天天造谣污蔑,文本
2026-09-10 21:39:36,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 21:39:42,NH2S,你自己讲的,文本
2026-09-10 21:39:48,NH2S,出去玩男男女女一起睡,文本
2026-09-10 21:39:55,NH2S,是吧zyt ,文本
2026-09-10 21:40:01,NH2S,你跟我在那吹牛逼,文本
2026-09-10 21:40:09,NH2S,劝我和你睡大通铺,文本
2026-09-10 21:40:15,,"<revokemsg>""刘妍君  NH2S"" 撤回了一条消息</revokemsg>",系统消息
2026-09-10 21:40:16,NH2S,嘻嘻,文本
2026-09-10 21:40:25,NH2S,把zmq卖了,文本
2026-09-10 21:41:15,Yutong,"你哪只耳朵听到了？
引用：没指挥倒车被罚800刀（恩师zyt: 出去玩男男女女一起睡",引用消息
2026-09-10 21:41:18,NH2S,我看隔壁群 ywx都退群了 ,文本
2026-09-10 21:41:24,NH2S,嘻嘻,文本
2026-09-10 21:41:46,Yutong,"你有证据吗？？？
引用：没指挥倒车被罚800刀（恩师zyt: 劝我和你睡大通铺",引用消息
2026-09-10 21:42:31,Yutong,张嘴就来？,文本
2026-09-10 21:42:43,NH2S,有啊 我当时跟朋友吐槽你 又有三个手机 ,文本
2026-09-10 21:42:47,NH2S,你说呢,文本
2026-09-10 21:42:53,NH2S,把你吓的,文本
2026-09-10 21:43:43,Yutong,我有三个手机？你是不是出现幻觉了,文本
2026-09-10 21:44:05,NH2S,我有啊,文本
2026-09-10 21:44:07,NH2S,哈哈哈,文本
2026-09-10 21:44:25,NH2S,你把ywx劝进来,文本
2026-09-10 21:44:30,NH2S,或者小号进来,文本
2026-09-10 21:44:36,NH2S,我再来下一步啊,文本
2026-09-10 21:44:48,Yutong,你还钱我就配合你,文本
2026-09-10 21:44:49,NH2S,咱们一点一点爆,文本
2026-09-10 21:45:09,NH2S,笑死了 现在还在扯还钱呢？ 别转移话题 ,文本
2026-09-10 21:45:31,NH2S,今天我我都放坐标了 你咋不敢来呢,文本
2026-09-10 21:46:03,NH2S,怕我有三个手机不小心记录了什么不该记录的,文本
2026-09-10 21:46:06,Yutong,？？？有人去吗,文本
2026-09-10 21:46:23,NH2S,吓得要提前几个月开始准备黑我,文本
2026-09-10 21:46:28,NH2S,还荡妇羞辱？,文本
2026-09-10 21:46:38,NH2S,我说你咋知道zmq几点睡呢,文本
2026-09-10 21:49:11,NH2S,心里没鬼咋不敢像我这样撕呢啊？不干净啊？怕我挤牙膏放锤啊？,文本
2026-09-10 21:50:04,Yutong,首先，我对来自精神病的虚假指控没有任何回应的必要，你最近的精神分裂的症状一直在恶化，大家有目共睹,文本
2026-09-10 21:50:23,NH2S,哇 荡妇羞辱 后 开始说人精神病了,文本
2026-09-10 21:50:39,NH2S,我一爆细节你就转移话题？,文本
2026-09-10 21:51:14,Yutong,你有哪句是实话？,文本
2026-09-10 21:51:16,NH2S,正常夫妻应该是亲亲老公站出来撕我 而不是你吧,文本
2026-09-10 21:51:19,NH2S,瞧你急的,文本
2026-09-10 21:51:30,NH2S,ywx看了得气死,文本
2026-09-10 21:53:46,NH2S,哦 还联动 同时在线哦 一般人这会儿不洗澡看电视吗 哎,文本
2026-09-10 21:54:27,NH2S,是我我应该和我老公躺床上准备睡觉了 哎 睡前聊聊天什么的,文本
2026-09-10 21:54:50,NH2S,怎么能忍哦,文本
2026-09-10 21:56:31,,"""Aurelia""邀请""🍭 芃🦄芃💋💭 🍀 🐘""加入了群聊",系统消息
2026-09-10 21:57:04,NH2S,你把我从徒步群踢了 在那疯狂找补,文本
2026-09-10 21:57:17,NH2S,是因为徒步群人人知道你俩同吃同住吗,文本
2026-09-10 21:57:25,,"""与疆🍖""邀请""🔥🔥🍚""加入了群聊",系统消息
2026-09-10 21:57:56,NH2S,好甜哦,文本
2026-09-10 22:02:21,Yutong,再见[再见],文本
2026-09-10 22:05:53,NH2S,来 等ywx,文本
2026-09-10 22:06:22,NH2S,有没有人还想吃瓜 你问我答哈哈哈 看心情回复,文本
2026-09-10 22:06:33,NH2S,能不能把这个群搞到500人,文本
2026-09-10 22:07:59,,"""》-_-《""邀请""轩""加入了群聊",系统消息
2026-09-10 22:11:26,NH2S,我是真想大家出来对质哦,文本
2026-09-10 22:11:45,NH2S,澄清一下不实谣言,文本
2026-09-10 22:12:24,NH2S,sorry原则哥 你叫我选择善良 我跟你说我只能以牙还牙,文本
2026-09-10 22:13:04,NH2S,再来几个人我跟大家扒扒为啥都是女生 某人的老鸨行径 让我不得不自污搞事儿,文本
2026-09-10 22:14:27,NH2S,还是得挽回一下形象 不然大家觉得我没素质都不跟我玩了哦,文本
2026-09-10 22:42:53,狄迪卫Rex,把人家1000刀退回去比你说什么都有用，不退回去说再多都是刷下限。。。。,文本
2026-09-10 22:43:24,NH2S,满500人嘛,文本
2026-09-10 22:43:46,NH2S,咱们看看zyt还能怎么反扑,文本
2026-09-10 22:44:13,NH2S,我体面他不讲体面 把我拉到不体面的地步 他也打不过我,文本
2026-09-10 22:44:18,NH2S,现在自闭去了？,文本
2026-09-10 22:44:48,NH2S,他那些小号也不出来跳了？就只能招呼你出来复读机？,文本
2026-09-10 22:46:28,NH2S,我保证我说的每句话都有依据 欢迎来挑战,文本
2026-09-10 22:51:45,狄迪卫Rex,然而每句话都没可信度。。。。还会让人反着理解。。。退钱的截图一天出不来，你就一天是个上蹿下跳小丑[皱眉],文本
2026-09-10 22:53:52,狄迪卫Rex,这水你现在根本搅不浑的,文本
2026-09-10 22:57:32,NH2S,你试试呢 我今天和她当面解决 她咋不来呢,文本
2026-09-10 22:58:28,NH2S,我一忍再忍 给了对方无数次机会验证 只要有一次她选择善良 就会是好结果,文本
2026-09-10 23:02:42,狄迪卫Rex,哦，那退款截图有吗[疑问],文本
2026-09-10 23:27:12,,"""🍀小叶子🍀""邀请""书记""加入了群聊",系统消息
2026-09-10 23:27:13,鸡蛋烙馍,唧唧歪歪这么多 说到底1000块钱还在自己兜里揣着 ,文本
2026-09-10 23:33:25,,"""局外人🌾""邀请""Barbie.Q""加入了群聊",系统消息
2026-09-10 23:38:34,,"""与疆🍖""邀请""弥子(平板支撑五分钟版)""加入了群聊",系统消息
2026-09-10 23:40:10,,"""Aɳσiғ』""邀请""简饭煎蛋""加入了群聊",系统消息
2026-09-10 23:41:45,NH2S,哎 你错了 要不这样 明天请zyt领着这个假冒未成年少女的id 咱们警局见,文本
2026-09-10 23:41:50,NH2S,你看他来不来,文本
2026-09-10 23:42:24,NH2S,明天不行咱们可以再选一天,文本
2026-09-10 23:44:12,NH2S,@Yutong ,文本
2026-09-10 23:48:48,NH2S,"理由是 对方是minors 需要有大哥哥陪同 是不是啊
引用：没指挥倒车被罚800刀（恩师zyt: 哎 你错了 要不这样 明天请zyt领着这个假冒未成年少女的id 咱们警局见",引用消息
2026-09-10 23:49:17,哈货,她啥时候说自己未成年了？,文本
2026-09-10 23:49:45,哈货,找出一句算你牛逼,文本
2026-09-10 23:51:21,NH2S,别转移话题呀 来不来嘛,文本
2026-09-10 23:51:41,哈货,这咋转移了？,文本
2026-09-10 23:51:48,哈货,你提到的未成年,文本
2026-09-10 23:51:51,chaesoo,我要上学呀大姐姐,文本
2026-09-10 23:51:57,chaesoo,谁跟你一样闲呀,文本
2026-09-10 23:52:04,chaesoo,【表情包】 ,表情包
